CUSTOMERCODE,CUSTOMERNAME,PRIMARYCOMPANY,CUSTOMERTYPECODE,CUSTCURRENCYCODE,COUNTRYCODE,STATECODE,OTHERSTATENAME,CITYCODE,OTHERCITYNAME,ADDRESSLINE1,ADDRESSLINE2,POSTBOXNUMBER,POSTALCODE,CONTACTNAME,INTERNATIONALDIALINGCODE,AREADIALINGCODE,PHONENUMBER,PHONEEXTENSIONNUMBER,MOBILENUMBER,FAXNUMBER,EMAIL,SOCUSTOMERCODE,SALESORDERTYPE,CUSTOMERBILLTO,CUSTOMERSHIPTO,SHIPPINGMODE,TRADETERM,SALESORDERDATE,CUSTOMERORDERNO,CUSTOMERORDERLINENO,PARTCODE,ALLOCATEDQTY,PARTBATCHNO,SERIALNO,EXPIRYDATE,ADDITIONALINFORMATION,ESTTIMEOFDELIVERY,ORIGINCOMPANY,DESTINATIONCOMPANY,WAREHOUSE,SIZE,COLOR
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,1,5056562967867,4.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,U,GREEN COMB
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,2,5056562967096,3.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,OFF WHITE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,3,5056562968574,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,CARAMEL
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,4,5056562967843,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,U,BLACK/WHIT
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,5,5056562967409,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,VANILLA
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,6,5056562966396,3.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,CAMEL
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,7,5056562964514,5.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,GREY MELAN
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,8,5056562967591,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,BROWN
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,9,5056562966600,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,OFF WHITE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,10,5056562967836,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,U,MUSTD COMB
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,11,5056562966334,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,L,PETROLEUM
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,12,5056562968093,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,L/XL,BEIGE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,13,5056562967164,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,OFF WHITE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,14,5056562963975,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,U,PURPLE C
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,15,5056562968130,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,BLACK GOLD
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,16,5056562964422,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,BURGUNDY
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,17,5056562968000,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,MULTICOLOR
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,18,5056562967324,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,DUSTY ROSE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,19,5056562967812,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,XL,BLACK
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,20,5056562968482,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,XL,BLACK
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,21,5056562965702,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,BLACK COMB
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,22,5056562966617,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,OFF WHITE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,23,5056562968185,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,PURPLE C
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,24,5056562965665,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,BURGUNDY
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,25,5056562968659,3.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,BLACK
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,26,5056562964989,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,BURGUNDY
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,27,5056562964156,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,BURGUNDY
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,28,5056562966587,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,GREEN COMB
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,29,5056562964613,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,BURGUNDY
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,30,5056562964453,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,PLUM
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,31,5056562966853,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,BLACK/WHIT
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,32,5056562964064,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,BEIGE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,33,5056562968871,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,GREY
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,34,5056562964927,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,L,OFF WHITE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,35,5056562967447,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,EMERALD
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,36,5056562966426,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,L/XL,DUSTY PINK
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,37,5056562965481,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,L,DUSTY ROSE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,38,5056562964439,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,L,BURGUNDY
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,39,5056562966358,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,RUST COMB
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,40,5056562966211,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,BLACK/WHIT
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,41,5056562964392,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,DUSTY ROSE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,42,5056562967065,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,XL,BURGUNDY C
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,43,5056562968376,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,DARK GREY
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,44,5056562968734,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,PLUM
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,45,5056562967584,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,BROWN
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,46,5056562967249,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,BLACK/OFF
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,47,5056562966020,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,BURGUNDY
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,48,5056562966280,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,BLACK
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,49,5056562966877,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,XL,BLACK/WHIT
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,50,5056562965672,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,BURGUNDY
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,51,5056562966150,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,L,BLACK
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,52,5056562966907,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,L,BURGUNDY C
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,53,5056562967508,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,XL,EMERALD
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,54,5056562964088,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,L,BEIGE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,55,5056562967461,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,XL,EMERALD
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,1,5056562967867,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,U,GREEN COMB
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,2,5056562967096,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,OFF WHITE
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,3,5056562964514,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,GREY MELAN
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,4,5056562968093,3.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,L/XL,BEIGE
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,5,5056562963975,8.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,U,PURPLE C
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,6,5056562967812,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,XL,BLACK
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,7,5056562965702,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,BLACK COMB
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,8,5056562966242,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,GREEN COMB
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,9,5056562967195,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,BURGUNDY
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,10,5056562964613,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,BURGUNDY
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,11,5056562964453,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,PLUM
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,12,5056562964491,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,DENIM
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,13,5056562967447,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,EMERALD
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,14,5056562967393,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,VANILLA
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,15,5056562966211,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,BLACK/WHIT
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,16,5056562965771,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,OFF WHITE
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,17,5056562967126,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,OFF WHITE
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,18,5056562967188,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,XL,OFF WHITE
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,19,5056562969052,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,XL,BLACK GREY
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,20,5056562967829,4.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,U,MULTICOLOR
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,21,5056562969199,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,L,OFF WHITE
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,22,5056562968109,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,OFF WHITE
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,23,5056562966884,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,BURGUNDY C
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,24,5056562964736,1.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,L,VANILLA
8,LEEM MERCATO,LEEM,,AED,AE,,,,DUBAI,JUMERAH,,,,LEEM MERCATO,,,,,,,,,SALE,8,8,AIR,EXW,2026-02-02,AB1D/1692,25,5056562964071,2.0,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,BEIGE
