CUSTOMERCODE,CUSTOMERNAME,PRIMARYCOMPANY,CUSTOMERTYPECODE,CUSTCURRENCYCODE,COUNTRYCODE,STATECODE,OTHERSTATENAME,CITYCODE,OTHERCITYNAME,ADDRESSLINE1,ADDRESSLINE2,POSTBOXNUMBER,POSTALCODE,CONTACTNAME,INTERNATIONALDIALINGCODE,AREADIALINGCODE,PHONENUMBER,PHONEEXTENSIONNUMBER,MOBILENUMBER,FAXNUMBER,EMAIL,SOCUSTOMERCODE,SALESORDERTYPE,CUSTOMERBILLTO,CUSTOMERSHIPTO,SHIPPINGMODE,TRADETERM,SALESORDERDATE,CUSTOMERORDERNO,CUSTOMERORDERLINENO,PARTCODE,ALLOCATEDQTY,PARTBATCHNO,SERIALNO,EXPIRYDATE,ADDITIONALINFORMATION,ESTTIMEOFDELIVERY,ORIGINCOMPANY,DESTINATIONCOMPANY,WAREHOUSE,SIZE,COLOR
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,1,5.05656E+12,4,,,,,2026-02-02,LEEM,DestinationCompany,AB,U,OFF WHITE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,2,5.05656E+12,3,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,OFF WHITE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,3,5.05656E+12,1,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,CARAMEL
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,4,5.05656E+12,1,,,,,2026-02-02,LEEM,DestinationCompany,AB,U,BLACK/WHIT
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,5,5.05656E+12,1,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,VANILLA
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,6,5.05656E+12,3,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,CAMEL
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,7,5.05656E+12,5,,,,,2026-02-02,LEEM,DestinationCompany,AB,S/M,GREY MELAN
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,8,5.05656E+12,2,,,,,2026-02-02,LEEM,DestinationCompany,AB,M,BROWN
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,9,5.05656E+12,1,,,,,2026-02-02,LEEM,DestinationCompany,AB,S,OFF WHITE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,2026-02-02,AB1D/1691,10,5.05656E+12,1,,,,,2026-02-02,LEEM,DestinationCompany,AB,U,MUSTD COMB
