CUSTOMERCODE,CUSTOMERNAME,PRIMARYCOMPANY,CUSTOMERTYPECODE,CUSTCURRENCYCODE,COUNTRYCODE,STATECODE,OTHERSTATENAME,CITYCODE,OTHERCITYNAME,ADDRESSLINE1,ADDRESSLINE2,POSTBOXNUMBER,POSTALCODE,CONTACTNAME,INTERNATIONALDIALINGCODE,AREADIALINGCODE,PHONENUMBER,PHONEEXTENSIONNUMBER,MOBILENUMBER,FAXNUMBER,EMAIL,SOCUSTOMERCODE,SALESORDERTYPE,CUSTOMERBILLTO,CUSTOMERSHIPTO,SHIPPINGMODE,TRADETERM,SALESORDERDATE,CUSTOMERORDERNO,CUSTOMERORDERLINENO,PARTCODE,ALLOCATEDQTY,PARTBATCHNO,SERIALNO,EXPIRYDATE,ADDITIONALINFORMATION,ESTTIMEOFDELIVERY,ORIGINCOMPANY,DESTINATIONCOMPANY,WAREHOUSE,SIZE,COLOR
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,26-01-2026,AB1D/1686,1,5.06E+12,4,,,,,26-01-2026,LEEM,DestinationCompany,AB,S/M,GREY MELAN
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,26-01-2026,AB1D/1686,2,5.06E+12,2,,,,,26-01-2026,LEEM,DestinationCompany,AB,U,GREEN COMB
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,26-01-2026,AB1D/1686,3,5.06E+12,1,,,,,26-01-2026,LEEM,DestinationCompany,AB,U,MULTICOLOR
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,26-01-2026,AB1D/1686,4,5.06E+12,2,,,,,26-01-2026,LEEM,DestinationCompany,AB,S/M,GREEN COMB
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,26-01-2026,AB1D/1686,5,5.06E+12,1,,,,,26-01-2026,LEEM,DestinationCompany,AB,M,OFF WHITE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,26-01-2026,AB1D/1686,6,5.06E+12,1,,,,,26-01-2026,LEEM,DestinationCompany,AB,M,OFF WHITE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,26-01-2026,AB1D/1686,7,5.06E+12,1,,,,,26-01-2026,LEEM,DestinationCompany,AB,L,BURGUNDY
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,26-01-2026,AB1D/1686,8,5.06E+12,1,,,,,26-01-2026,LEEM,DestinationCompany,AB,L,OFF WHITE
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,26-01-2026,AB1D/1686,9,5.06E+12,1,,,,,26-01-2026,LEEM,DestinationCompany,AB,M,BLACK/WHIT
7,LEEM MIRDIF,LEEM,,AED,AE,,,,DUBAI,CITY CENTER MIRDIF,,,,LEEM MIRDIF,,,,,,,,,SALE,7,7,AIR,EXW,26-01-2026,AB1D/1686,10,5.06E+12,1,,,,,26-01-2026,LEEM,DestinationCompany,AB,S,GOLD
